id,gameNo,gameName,gameCode,type,costPrice,tax,salePrice,dateOfSale
1,55,PzmFmrfvCI,d5wPM,1,15.41,1.39,16.8,2024-04-16
2,1,YEWtxTHxoT,pRcHP,1,29.44,2.65,32.09,2024-04-08
3,36,OmJWYaTfAf,viPbO,2,11.32,1.02,12.34,2024-04-01
4,1,KLxmtDjAjl,Gsci2,1,66.06,5.95,72.01,2024-04-28
5,16,WSiCzObTFy,Acn9f,1,96.8,8.71,105.51,2024-04-01
6,38,pkhwyGgkLD,p2gPF,2,23.59,2.12,25.71,2024-04-24
7,3,qIsXixVced,o0jsW,2,18.74,1.69,20.43,2024-04-10
8,12,FPrfkBVzax,GtAwJ,2,44.25,3.98,48.23,2024-04-04
9,7,iZbjBMsNur,sNBNO,2,43.23,3.89,47.12,2024-04-26
10,87,CAinySVquS,ZER3D,2,74.11,6.67,80.78,2024-04-11
11,91,OSMIrQmTtx,IaRvw,2,53.88,4.85,58.73,2024-04-18
12,21,jHbngfigfv,RVoP9,1,49.58,4.46,54.04,2024-04-25
13,25,xwqdQcmhFP,nXdRI,2,48.42,4.36,52.78,2024-04-01
14,34,UVNNRwOjEM,tofAb,1,74.29,6.69,80.98,2024-04-27
15,91,RZJpKTdPzx,zOOSP,2,31.47,2.83,34.3,2024-04-23
16,88,krMtBTGZJz,MFxqn,1,99.8,8.98,108.78,2024-04-09
17,75,GqxYLGfxGe,TbrJu,2,46.19,4.16,50.35,2024-04-05
18,50,HiDmVLkjiB,xof9P,1,33.44,3.01,36.45,2024-04-09
19,19,SPvuVkepBY,L4yJx,1,92.64,8.34,100.98,2024-04-06
20,32,KGzQVxlcUa,Md070,1,94.78,8.53,103.31,2024-04-18
21,90,CTnkmgCVGa,T7IEJ,2,42.38,3.81,46.19,2024-04-19
22,86,DwCCfQgXHu,ewwjo,2,86.91,7.82,94.73,2024-04-04
23,25,DDtrUFwoGi,jZRG5,2,11.65,1.05,12.7,2024-04-12
24,27,MdWjhUgxRv,4UEdY,2,44.05,3.96,48.01,2024-04-02
25,8,nZtsNppQUB,pTC9o,2,89.3,8.04,97.34,2024-04-16
26,50,pKjPOBtQcT,07CaH,1,86.4,7.78,94.18,2024-04-07
27,67,dTBFpCtTkE,7iizR,2,16.41,1.48,17.89,2024-04-20
28,33,piWamtAUXh,z7UPn,1,90.42,8.14,98.56,2024-04-02
29,7,OQkWXvXtoo,L4a3V,1,15.29,1.38,16.67,2024-04-03
30,60,RWjDvTKlyP,PXRq8,2,49.41,4.45,53.86,2024-04-04
31,84,rOrKPLXocI,cTLAv,1,98.07,8.83,106.9,2024-04-24
32,32,oAsirseBrs,1CMwk,1,26.99,2.43,29.42,2024-04-15
33,51,UpkrpMxKOR,WVBvy,2,46.01,4.14,50.15,2024-04-18
34,14,VtFyUGNaKP,vAmlw,1,38.99,3.51,42.5,2024-04-15
35,22,uwxgLzOPlU,Dkk8J,1,95.17,8.57,103.74,2024-04-09
36,59,PTbhByDSLJ,mmd9c,2,29.94,2.69,32.63,2024-04-02
37,10,sLdhWbkUqJ,KSvz4,2,18.48,1.66,20.14,2024-04-05
38,10,kxTtVJnbXp,ykpvb,1,70.02,6.3,76.32,2024-04-13
39,89,ooMGAqDhSV,wmZkr,1,39.37,3.54,42.91,2024-04-01
40,44,PXKbZHITJM,tviBq,2,75.07,6.76,81.83,2024-04-10
41,72,LHJTJvrVHv,XgK1y,1,98.9,8.9,107.8,2024-04-20
42,14,aAsEugWHaq,pxR0S,2,23.91,2.15,26.06,2024-04-09
43,70,UvrvvpFmUi,fhXAq,2,90.55,8.15,98.7,2024-04-07
44,100,XqWkgNHVgs,53VDo,2,78.77,7.09,85.86,2024-04-22
45,23,AJcDNNzRLE,oRdBa,1,22.88,2.06,24.94,2024-04-26
46,61,tMSztoPoWK,qi3Ha,2,31.25,2.81,34.06,2024-04-14
47,6,iIOOcfIuTk,pvDG3,1,48.77,4.39,53.16,2024-04-17
48,18,OCxVGSVaiW,pyz6p,1,96.94,8.72,105.66,2024-04-16
49,99,GypYxIatgP,W57nH,1,87.57,7.88,95.45,2024-04-14
50,25,kyOhYxdrxk,Lnk9s,1,75.87,6.83,82.7,2024-04-13
51,18,sQzUWRCNrl,hfAZI,1,91.58,8.24,99.82,2024-04-26
52,76,waKfMKGmVG,YhtVN,1,29.22,2.63,31.85,2024-04-14
53,30,wCNXKYlQoE,tEZ1k,1,49.84,4.49,54.33,2024-04-19
54,11,sgSxZkfkeR,uaBZj,2,53.35,4.8,58.15,2024-04-07
55,48,hxSmDLRtuC,FQBbR,2,39.53,3.56,43.09,2024-04-15
56,54,gOBJVFVNxX,IrPtM,2,27.33,2.46,29.79,2024-04-08
57,3,ugxLAsmlvb,jJ9FM,1,24.36,2.19,26.55,2024-04-23
58,31,IErFfYZYCJ,um5Ao,1,83.98,7.56,91.54,2024-04-10
59,30,XDTrAlrOAV,faMhv,1,26.86,2.42,29.28,2024-04-29
60,10,xviOgTCJAz,IHvyD,1,99.41,8.95,108.36,2024-04-26
61,43,wLXXreQvdu,g7iVd,2,36.48,3.28,39.76,2024-04-20
62,93,mzYEbVbvkk,KZhcD,1,83.62,7.53,91.15,2024-04-27
63,18,TAXZoCmPDf,soFum,1,16.81,1.51,18.32,2024-04-03
64,73,wTKEuPvMAh,COd4s,1,63.84,5.75,69.59,2024-04-26
65,89,ancxxBDoHK,stlrX,1,94.12,8.47,102.59,2024-04-06
66,2,zMbMWEFFNU,GP4lE,2,75.93,6.83,82.76,2024-04-11
67,39,kuvtskmbBo,2azea,2,82.93,7.46,90.39,2024-04-09
68,48,nwiCgpnuNp,bN5lC,1,27.7,2.49,30.19,2024-04-01
69,84,IcWIyasDvN,76NHA,2,26.96,2.43,29.39,2024-04-19
70,45,hwCarydRYe,jqHEt,2,22.16,1.99,24.15,2024-04-20
71,42,jBfoBWZDew,XpWem,2,33.39,3.01,36.4,2024-04-27
72,47,rpwHUcGGlJ,vzehS,2,40.95,3.69,44.64,2024-04-26
73,45,juxDfTSeMu,LfGKa,1,92.87,8.36,101.23,2024-04-19
74,24,DoaWAgmkaf,pVlk1,1,60.17,5.42,65.59,2024-04-24
75,68,SClgUwtqfS,F22Eq,2,72.19,6.5,78.69,2024-04-20
76,78,xnwzAGndrN,VOCOU,1,57.11,5.14,62.25,2024-04-13
77,54,sObBWvEVUW,g6pAD,2,98.21,8.84,107.05,2024-04-22
78,45,HYKWxgbWLN,Sow3X,1,65.51,5.9,71.41,2024-04-29
79,49,NQvChKlixl,HWHXD,1,27.68,2.49,30.17,2024-04-16
80,69,wEPoxTChbA,pMptU,2,79.78,7.18,86.96,2024-04-08
81,95,ZWyVdSUpAz,5rw7F,2,79.51,7.16,86.67,2024-04-27
82,98,QbrYFKVzVK,Pgf2M,1,17.84,1.61,19.45,2024-04-10
83,25,htgzKzgFNz,VOOZ3,2,70.91,6.38,77.29,2024-04-25
84,1,XhGoXbwxcX,cirPY,1,33.39,3.01,36.4,2024-04-02
85,34,bIuEgXYcUr,56ZyW,1,65.64,5.91,71.55,2024-04-12
86,55,MSMpHkjTQI,13Pib,1,39.72,3.57,43.29,2024-04-02
87,37,qogcmjMjjH,Oj4KH,1,44.59,4.01,48.6,2024-04-19
88,84,nTxlNWtszj,xaCQ5,2,11.16,1.0,12.16,2024-04-08
89,5,RIZRUOgJBI,WhwQf,1,11.39,1.03,12.42,2024-04-19
90,93,dxjeBUgHpM,ApGYg,2,89.87,8.09,97.96,2024-04-16
91,14,ZjeciWZbUE,5ir6i,1,97.82,8.8,106.62,2024-04-10
92,94,sBxxUaHNkv,m3EAa,2,28.94,2.6,31.54,2024-04-29
93,62,dnwCMmqghv,N24WV,2,15.32,1.38,16.7,2024-04-28
94,25,juNKjNumEV,rLMx9,1,43.25,3.89,47.14,2024-04-20
95,90,zsWPJKhsNH,YUsRR,2,65.75,5.92,71.67,2024-04-02
96,53,rXbCMlvXLb,QXymQ,2,74.49,6.7,81.19,2024-04-03
97,95,EgauzFQqyE,o3ooh,2,46.99,4.23,51.22,2024-04-04
98,70,nGKBIudGpy,1Fv3f,1,94.6,8.51,103.11,2024-04-08
99,8,IgeCtdqNZD,XFGCo,1,61.84,5.57,67.41,2024-04-04
100,30,HFTeFzeSVq,1gYDb,1,81.43,7.33,88.76,2024-04-19
101,39,hsvVyIqPGl,pASEE,1,70.12,6.31,76.43,2024-04-28
102,16,RwsueXXzVN,GVDGI,2,79.33,7.14,86.47,2024-04-17
103,82,iZEufaOdCF,u7ZbJ,2,40.54,3.65,44.19,2024-04-21
104,86,sZRcOBjkYP,ETovi,2,25.86,2.33,28.19,2024-04-21
105,6,NFkWxgFCzC,oPXHT,2,14.33,1.29,15.62,2024-04-16
106,52,eSFGZGYhUg,Wbq82,2,59.74,5.38,65.12,2024-04-24
